Symbol,Date,Open,High,Low,Close,Adj Close,Volume
HINDUNILVR,17-01-2023,2605.449951,2675,2601.800049,2667.550049,2645.939697,1892865
HINDUNILVR,18-01-2023,2668,2693.5,2660,2686.199951,2664.438721,2038075
HINDUNILVR,19-01-2023,2670.100098,2679.300049,2611.899902,2649.75,2628.283936,1649842
HINDUNILVR,20-01-2023,2550,2605,2536.050049,2548.75,2528.102051,4569549
HINDUNILVR,23-01-2023,2560,2604,2552,2596.399902,2575.365967,1388360
HINDUNILVR,24-01-2023,2604,2610,2580.800049,2600.5,2579.432861,1462462
HINDUNILVR,25-01-2023,2600.5,2642,2594,2622.350098,2601.105957,1591810
HINDUNILVR,27-01-2023,2635.5,2646.550049,2578.199951,2612.149902,2590.988525,1581382
HINDUNILVR,30-01-2023,2610,2610,2530.199951,2568.149902,2547.344971,2744039
HINDUNILVR,31-01-2023,2568,2590.199951,2541.199951,2576.75,2555.875244,2366794
HINDUNILVR,01-02-2023,2600.199951,2603,2546.850098,2574.25,2553.395508,2014615
HINDUNILVR,02-02-2023,2569.5,2639.75,2563,2634.850098,2613.504639,1980667
HINDUNILVR,03-02-2023,2640,2657.449951,2631.149902,2648.75,2627.291992,1638238
HINDUNILVR,06-02-2023,2631,2645,2599.75,2637.600098,2616.232422,1697446
HINDUNILVR,07-02-2023,2645,2645.550049,2595.300049,2601.199951,2580.127197,1495745
HINDUNILVR,08-02-2023,2592.699951,2607.5,2578.350098,2582.800049,2561.876465,1061956
HINDUNILVR,09-02-2023,2587,2599.899902,2566,2586.699951,2565.744629,1102484
HINDUNILVR,10-02-2023,2585,2586.649902,2555.350098,2577.5,2556.619141,1523011
HINDUNILVR,13-02-2023,2560,2590.75,2550,2581,2560.09082,1146525
HINDUNILVR,14-02-2023,2585,2602,2570.199951,2579.600098,2558.702393,1944364
HINDUNILVR,15-02-2023,2550,2571.800049,2537,2548.449951,2527.804443,2009134
HINDUNILVR,16-02-2023,2560,2561.899902,2522.850098,2527.100098,2506.627686,1982857
HINDUNILVR,17-02-2023,2525,2546.25,2506.899902,2515.5,2495.121582,1395341
HINDUNILVR,20-02-2023,2518,2543,2508.199951,2511.449951,2491.104248,632091
HINDUNILVR,21-02-2023,2528,2543.949951,2512.300049,2516.149902,2495.766113,862797
HINDUNILVR,22-02-2023,2516.149902,2523.550049,2482.75,2494.050049,2473.845459,885515
HINDUNILVR,23-02-2023,2492,2515.899902,2480.100098,2490.649902,2470.472656,757215
HINDUNILVR,24-02-2023,2492.199951,2511.25,2471.949951,2484.199951,2464.074951,732783
HINDUNILVR,27-02-2023,2487,2487,2456,2468.149902,2448.155029,853991
HINDUNILVR,28-02-2023,2469.75,2474.350098,2435.649902,2460.649902,2440.71582,1780454
HINDUNILVR,01-03-2023,2458,2470,2448,2466.25,2446.270508,967339
HINDUNILVR,02-03-2023,2466.25,2470,2444,2455.350098,2435.458984,827174
HINDUNILVR,03-03-2023,2466,2489.899902,2455.649902,2471,2450.981934,1176008
HINDUNILVR,06-03-2023,2481.949951,2498.850098,2475.600098,2484.850098,2464.719971,1214503
HINDUNILVR,08-03-2023,2487,2501.399902,2467.199951,2485.100098,2464.967773,1448340
HINDUNILVR,09-03-2023,2484.850098,2491.949951,2456.899902,2461.399902,2441.459717,1038910
HINDUNILVR,10-03-2023,2450,2470.5,2445.100098,2465.449951,2445.477051,772024
HINDUNILVR,13-03-2023,2466,2488.5,2445,2455.100098,2435.210938,1314549
